"Food_Code","Food_Abbrev_Desc","Food_Desc"
21101020.00,"BEEF STEAK, NS AS TO COOKING METHOD, LEAN ONLY","Beef steak, NS as to cooking method, lean only eaten"
21101110.00,"BEEF STEAK, BROILED OR BAKED, NS AS TO FAT","Beef steak, broiled or baked, NS as to fat eaten"
21101120.00,"BEEF STEAK, BROILED OR BAKED, LEAN & FAT","Beef steak, broiled or baked, lean and fat eaten"
21101130.00,"BEEF STEAK, BROILED OR BAKED, LEAN ONLY","Beef steak, broiled or baked, lean only eaten"
21102110.00,"BEEF STEAK, FRIED, NS AS TO FAT","Beef steak, fried, NS as to fat eaten"
21102120.00,"BEEF STEAK, FRIED, LEAN & FAT","Beef steak, fried, lean and fat eaten"
21102130.00,"BEEF STEAK, FRIED, LEAN ONLY","Beef steak, fried, lean only eaten"
21103110.00,"BEEF STEAK,BREADED/FLOURED,BAKED/FRIED,NS AS TO FAT","Beef steak, breaded or floured, baked or fried, NS as to fat eaten"
21103120.00,"BEEF STEAK, BREADED/FLOURED,BAKED/FRIED, LEAN & FAT","Beef steak, breaded or floured, baked or fried, lean and fat eaten"
21103130.00,"BEEF STEAK, BREADED/FLOURED, BAKED/FRIED, LEAN ONLY","Beef steak, breaded or floured, baked or fried, lean only eaten"
21104110.00,"BEEF STEAK, BATTERED, FRIED, NS AS TO FAT","Beef steak, battered, fried, NS as to fat eaten"
21104120.00,"BEEF STEAK, BATTERED, FRIED, LEAN & FAT","Beef steak, battered, fried, lean and fat eaten"
21104130.00,"BEEF STEAK, BATTERED, FRIED, LEAN ONLY","Beef steak, battered, fried, lean only eaten"
21105110.00,"BEEF STEAK, BRAISED, NS AS TO FAT","Beef steak, braised, NS as to fat eaten"
21105120.00,"BEEF STEAK, BRAISED, LEAN & FAT","Beef steak, braised, lean and fat eaten"
21105130.00,"BEEF STEAK, BRAISED, LEAN ONLY","Beef steak, braised, lean only eaten"
21301000.00,"BEEF, OXTAILS, COOKED","Beef, oxtails, cooked"
21302000.00,"BEEF, NECK BONES, COOKED","Beef, neck bones, cooked"
21304000.00,"BEEF, SHORTRIBS, COOKED, NS AS TO FAT","Beef, shortribs, cooked, NS as to fat eaten"
21304110.00,"BEEF, SHORTRIBS, COOKED, LEAN & FAT","Beef, shortribs, cooked, lean and fat eaten"
21304120.00,"BEEF, SHORTRIBS, COOKED, LEAN ONLY","Beef, shortribs, cooked, lean only eaten"
21304200.00,"BEEF, SHORTRIBS, BBQ, W/ SAUCE, NS AS TO FAT","Beef, shortribs, barbecued, with sauce, NS as to fat eaten"
21304210.00,"BEEF, SHORTRIBS, BBQ, W/ SAUCE, LEAN & FAT","Beef, shortribs, barbecued, with sauce, lean and fat eaten"
21304220.00,"BEEF, SHORTRIBS, BBQ, W/ SAUCE, LEAN ONLY","Beef, shortribs, barbecued, with sauce, lean only eaten"
21305000.00,"BEEF, COW HEAD, COOKED","Beef, cow head, cooked"
21401000.00,"BEEF, ROAST, ROASTED, NS AS TO FAT","Beef, roast, roasted, NS as to fat eaten"
21401110.00,"BEEF, ROAST, ROASTED, LEAN & FAT","Beef, roast, roasted, lean and fat eaten"
21401120.00,"BEEF, ROAST, ROASTED, LEAN ONLY","Beef, roast, roasted, lean only eaten"
21401400.00,"BEEF, ROAST, CANNED","Beef, roast, canned"
21407000.00,"BEEF, POT ROAST, BRAISED OR BOILED, NS AS TO FAT","Beef, pot roast, braised or boiled, NS as to fat eaten"
21407110.00,"BEEF, POT ROAST, BRAISED OR BOILED, LEAN & FAT","Beef, pot roast, braised or boiled, lean and fat eaten"
21407120.00,"BEEF, POT ROAST, BRAISED OR BOILED, LEAN ONLY","Beef, pot roast, braised or boiled, lean only eaten"
21410000.00,"BEEF, STEW MEAT, COOKED, NS AS TO FAT","Beef, stew meat, cooked, NS as to fat eaten"
21410110.00,"BEEF, STEW MEAT, COOKED, LEAN & FAT","Beef, stew meat, cooked, lean and fat eaten"
21410120.00,"BEEF, STEW MEAT, COOKED, LEAN ONLY","Beef, stew meat, cooked, lean only eaten"
21416000.00,"CORNED BEEF, COOKED, NS AS TO FAT","Corned beef, cooked, NS as to fat eaten"
21416110.00,"CORNED BEEF, COOKED, LEAN & FAT","Corned beef, cooked, lean and fat eaten"
21416120.00,"CORNED BEEF, COOKED, LEAN ONLY","Corned beef, cooked, lean only eaten"
21416150.00,"CORNED BEEF, CANNED, READY TO EAT","Corned beef, canned, ready-to-eat"
21417100.00,"BEEF BRISKET, COOKED, NS AS TO FAT","Beef brisket, cooked, NS as to fat eaten"
21417110.00,"BEEF BRISKET, COOKED, LEAN & FAT","Beef brisket, cooked, lean and fat eaten"
21417120.00,"BEEF BRISKET, COOKED, LEAN ONLY","Beef brisket, cooked, lean only eaten"
21420100.00,"BEEF, SANDWICH STEAK (FLAKED,FORMED, THINLY SLICED)","Beef, sandwich steak (flaked, formed, thinly sliced)"
21500000.00,"GROUND BEEF, RAW","Ground beef, raw"
21500100.00,"GROUND BEEF OR PATTY, NS AS TO %LEAN","Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)"
21500110.00,"GROUND BEEF, MEATBALLS, MEAT ONLY, NS AS TO %LEAN","Ground beef, meatballs, meat only, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)"
21500200.00,"GROUND BEEF OR PATTY, BREADED, COOKED","Ground beef or patty, breaded, cooked"
21500300.00,"GROUND BEEF PATTY, COOKED (FOR FAST FOOD SANDWICHES)","Ground beef patty, cooked (for fast food sandwiches)"
21501000.00,"GROUND BEEF, LESS THAN 80% LEAN, COOKED","Ground beef, less than 80% lean, cooked (formerly regular)"
21501200.00,"GROUND BEEF, 80% - 84% LEAN, COOKED","Ground beef, 80% - 84% lean, cooked (formerly lean)"
21501300.00,"GROUND BEEF, 85% - 89% LEAN, COOKED","Ground beef, 85% - 89% lean, cooked (formerly extra lean)"
21501350.00,"GROUND BEEF, 90% - 94% LEAN, COOKED","Ground beef, 90% - 94% lean, cooked"
21501360.00,"GROUND BEEF, 95% OR MORE LEAN, COOKED","Ground beef, 95% or more lean, cooked"
21540100.00,"GROUND BEEF W/ TEXTURED VEGETABLE PROTEIN, COOKED","Ground beef with textured vegetable protein, cooked"
21601000.00,"BEEF, BACON, COOKED","Beef, bacon, cooked"
21601250.00,"BEEF, BACON, COOKED, LEAN ONLY","Beef, bacon, cooked, lean only eaten"
21601500.00,"BEEF BACON, FORMED, LEAN MEAT ADDED (INCL SIZZLEAN)","Beef, bacon, formed, lean meat added, cooked"
21602000.00,"BEEF, DRIED, CHIPPED, UNCOOKED","Beef, dried, chipped, uncooked"
21602010.00,"BEEF, DRIED, CHIPPED, COOKED IN FAT","Beef, dried, chipped, cooked in fat"
21602100.00,"BEEF JERKY","Beef jerky"
21603000.00,"BEEF, PASTRAMI (BEEF, SMOKED, SPICED)","Beef, pastrami (beef, smoked, spiced)"
21701010.00,"BEEF, BABY, STRAINED","Beef, baby food, strained"
21701020.00,"BEEF, BABY, JUNIOR","Beef, baby food, junior"
22000100.00,"PORK, NS AS TO CUT, COOKED, NS AS TO FAT EATEN","Pork, NS as to cut, cooked, NS as to fat eaten"
22000110.00,"PORK, NS AS TO CUT, COOKED, LEAN & FAT EATEN","Pork, NS as to cut, cooked, lean and fat eaten"
22000120.00,"PORK, NS AS TO CUT, COOKED, LEAN ONLY EATEN","Pork, NS as to cut, cooked, lean only eaten"
22000200.00,"PORK, NS AS TO CUT, FRIED, NS AS TO FAT EATEN","Pork, NS as to cut, fried, NS as to fat eaten"
22000210.00,"PORK, NS AS TO CUT, FRIED, LEAN & FAT EATEN","Pork, NS as to cut, fried, lean and fat eaten"
22000220.00,"PORK, NS AS TO CUT, FRIED, LEAN ONLY EATEN","Pork, NS as to cut, fried, lean only eaten"
22000300.00,"PORK, NS AS TO CUT, BREADED, FRIED, NS AS TO FAT","Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten"
22000310.00,"PORK, NS AS TO CUT, BREADED, FRIED, FAT EATEN","Pork, NS as to cut, breaded or floured, fried, lean and fat eaten"
22000320.00,"PORK, NS AS TO CUT, BREADED, FRIED, LEAN ONLY","Pork, NS as to cut, breaded or floured, fried, lean only eaten"
22001000.00,"PORK, PICKLED, NS AS TO CUT","Pork, pickled, NS as to cut"
22002000.00,"PORK, GROUND OR PATTY, COOKED","Pork, ground or patty, cooked"
22002100.00,"PORK, GROUND, GROUND OR PATTY, BREADED, COOKED","Pork, ground or patty, breaded, cooked"
22002800.00,"PORK JERKY","Pork jerky"
22003000.00,"PORK, DEHYDRATED, ORIENTAL","Pork, dehydrated, oriental style"
22101000.00,"PORK CHOP, NS AS TO COOKING METHOD, NS AS TO FAT","Pork chop, NS as to cooking method, NS as to fat eaten"
22101010.00,"PORK CHOP, NS AS TO COOKING METHOD, LEAN & FAT","Pork chop, NS as to cooking method, lean and fat eaten"
22101020.00,"PORK CHOP, NS AS TO COOKING METHOD, LEAN ONLY","Pork chop, NS as to cooking method, lean only eaten"
22101100.00,"PORK CHOP, BROILED OR BAKED, NS AS TO FAT","Pork chop, broiled or baked, NS as to fat eaten"
22101110.00,"PORK CHOP, BROILED OR BAKED, LEAN & FAT","Pork chop, broiled or baked, lean and fat eaten"
22101120.00,"PORK CHOP, BROILED OR BAKED, LEAN ONLY","Pork chop, broiled or baked, lean only eaten"
22101130.00,"PORK CHOP, BREADED, BROILED OR BAKED, NS AS TO FAT","Pork chop, breaded or floured, broiled or baked, NS as to fat eaten"
22101140.00,"PORK CHOP, BREADED, BROILED OR BAKED, LEAN & FAT","Pork chop, breaded or floured, broiled or baked, lean and fat eaten"
22101150.00,"PORK CHOP, BREADED, BROILED OR BAKED, LEAN ONLY","Pork chop, breaded or floured, broiled or baked, lean only eaten"
22101200.00,"PORK CHOP, FRIED, NS AS TO FAT","Pork chop, fried, NS as to fat eaten"
22101210.00,"PORK CHOP, FRIED, LEAN & FAT","Pork chop, fried, lean and fat eaten"
22101220.00,"PORK CHOP, FRIED, LEAN ONLY","Pork chop, fried, lean only eaten"
22101300.00,"PORK CHOP, BREADED, FRIED, NS AS TO FAT","Pork chop, breaded or floured, fried, NS as to fat eaten"
22101310.00,"PORK CHOP, BREADED, FRIED, LEAN & FAT","Pork chop, breaded or floured, fried, lean and fat eaten"
22101320.00,"PORK CHOP, BREADED, FRIED, LEAN ONLY","Pork chop, breaded or floured, fried, lean only eaten"
22101400.00,"PORK CHOP, BATTERED, FRIED, NS AS TO FAT","Pork chop, battered, fried, NS as to fat eaten"
22101410.00,"PORK CHOP, BATTERED, FRIED, LEAN & FAT","Pork chop, battered, fried, lean and fat eaten"
22101420.00,"PORK CHOP, BATTERED, FRIED, LEAN ONLY","Pork chop, battered, fried, lean only eaten"
22101500.00,"PORK CHOP, STEWED, NS AS TO FAT EATEN","Pork chop, stewed, NS as to fat eaten"
22101510.00,"PORK CHOP, STEWED, LEAN & FAT EATEN","Pork chop, stewed, lean and fat eaten"
22101520.00,"PORK CHOP, STEWED, LEAN ONLY EATEN","Pork chop, stewed, lean only eaten"
22107000.00,"PORK CHOP, SMOKED OR CURED, COOKED, NS AS TO FAT","Pork chop, smoked or cured, cooked, NS as to fat eaten"
22107010.00,"PORK CHOP, SMOKED OR CURED, COOKED, LEAN & FAT","Pork chop, smoked or cured, cooked, lean and fat eaten"
22107020.00,"PORK CHOP, SMOKED OR CURED, COOKED, LEAN ONLY","Pork chop, smoked or cured, cooked, lean only eaten"
22201000.00,"PORK STEAK, NS AS TO COOKING METHOD, NS AS TO FAT","Pork steak or cutlet, NS as to cooking method, NS as to fat eaten"
22201010.00,"PORK STEAK, NS AS TO COOKING METHOD, LEAN & FAT","Pork steak or cutlet, NS as to cooking method, lean and fat eaten"
22201020.00,"PORK STEAK, NS AS TO COOKING METHOD, LEAN ONLY","Pork steak or cutlet, NS as to cooking method, lean only eaten"
22201050.00,"PORK STEAK OR CUTLET, BATTERED, FRIED, NS AS TO FAT","Pork steak or cutlet, battered, fried, NS as to fat eaten"
22201060.00,"PORK STEAK OR CUTLET, BATTERED, FRIED, LEAN & FAT","Pork steak or cutlet, battered, fried, lean and fat eaten"
22201070.00,"PORK STEAK OR CUTLET, BATTERED, FRIED, LEAN ONLY","Pork steak or cutlet, battered, fried, lean only eaten"
22201100.00,"PORK STEAK OR CUTLET, BROILED OR BAKD, NS AS TO FAT","Pork steak or cutlet, broiled or baked, NS as to fat eaten"
22201110.00,"PORK STEAK OR CUTLET, BROILED OR BAKED, LEAN & FAT","Pork steak or cutlet, broiled or baked, lean and fat eaten"
22201120.00,"PORK STEAK OR CUTLET, BROILED OR BAKED, LEAN ONLY","Pork steak or cutlet, broiled or baked, lean only eaten"
22201200.00,"PORK STEAK OR CUTLET, FRIED, NS AS TO FAT","Pork steak or cutlet, fried, NS as to fat eaten"
22201210.00,"PORK STEAK OR CUTLET, FRIED, LEAN & FAT","Pork steak or cutlet, fried, lean and fat eaten"
22201220.00,"PORK STEAK OR CUTLET, FRIED, LEAN ONLY","Pork steak or cutlet, fried, lean only eaten"
22201300.00,"PORK CUTLET, BREADED, BROILED/BAKED, NS AS TO FAT","Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten"
22201310.00,"PORK CUTLET, BREADED, BROILED/BAKED, LEAN & FAT","Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten"
22201320.00,"PORK CUTLET, BREADED, BROILED/BAKED, LEAN ONLY","Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten"
22201400.00,"PORK STEAK OR CUTLET, BREADED, FRIED, NS AS TO FAT","Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten"
22201410.00,"PORK STEAK OR CUTLET, BREADED, FRIED, LEAN & FAT","Pork steak or cutlet, breaded or floured, fried, lean and fat eaten"
22201420.00,"PORK STEAK OR CUTLET, BREADED, FRIED, LEAN ONLY","Pork steak or cutlet, breaded or floured, fried, lean only eaten"
22210300.00,"PORK, TENDERLOIN, COOKED, NS AS TO METHOD","Pork, tenderloin, cooked, NS as to cooking method"
22210310.00,"PORK, TENDERLOIN, BREADED, FRIED","Pork, tenderloin, breaded, fried"
22210350.00,"PORK, TENDERLOIN, BRAISED","Pork, tenderloin, braised"
22210400.00,"PORK, TENDERLOIN, BAKED","Pork, tenderloin, baked"
22210450.00,"PORK, TENDERLOIN, BATTERED, FRIED","Pork, tenderloin, battered, fried"
22300120.00,"HAM, FRIED, NS AS TO FAT","Ham, fried, NS as to fat eaten"
22300130.00,"HAM, FRIED, LEAN & FAT","Ham, fried, lean and fat eaten"
22300140.00,"HAM, FRIED, LEAN ONLY","Ham, fried, lean only eaten"
22300150.00,"HAM, BREADED, FRIED, NS AS TO FAT","Ham, breaded or floured, fried, NS as to fat eaten"
22300160.00,"HAM, BREADED, FRIED, LEAN & FAT","Ham, breaded or floured, fried, lean and fat eaten"
22300170.00,"HAM, BREADED, FRIED, LEAN ONLY","Ham, breaded or floured, fried, lean only eaten"
22301000.00,"HAM, FRESH, COOKED, NS AS TO FAT","Ham, fresh, cooked, NS as to fat eaten"
22301110.00,"HAM, FRESH, COOKED, LEAN & FAT","Ham, fresh, cooked, lean and fat eaten"
22301120.00,"HAM, FRESH, COOKED, LEAN ONLY","Ham, fresh, cooked, lean only eaten"
22311000.00,"HAM, SMOKED OR CURED, COOKED, NS AS TO FAT","Ham, smoked or cured, cooked, NS as to fat eaten"
22311010.00,"HAM, SMOKED OR CURED, COOKED, LEAN & FAT","Ham, smoked or cured, cooked, lean and fat eaten"
22311020.00,"HAM, SMOKED OR CURED, COOKED, LEAN ONLY","Ham, smoked or cured, cooked, lean only eaten"
22311200.00,"HAM, SMOKED OR CURED, LOW NA, NS AS TO FAT","Ham, smoked or cured, low sodium, cooked, NS as to fat eaten"
22311210.00,"HAM, SMOKED OR CURED, LOW NA, LEAN & FAT","Ham, smoked or cured, low sodium, cooked, lean and fat eaten"
22311220.00,"HAM, SMOKED OR CURED, LOW NA, LEAN ONLY","Ham, smoked or cured, low sodium, cooked, lean only eaten"
22311450.00,"HAM, PROSCIUTTO","Ham, prosciutto"
22311500.00,"HAM, SMOKED OR CURED, CANNED, NS AS TO FAT EATEN","Ham, smoked or cured, canned, NS as to fat eaten"
22311510.00,"HAM, SMOKED OR CURED, CANNED, LEAN & FAT EATEN","Ham, smoked or cured, canned, lean and fat eaten"
22311520.00,"HAM, SMOKED OR CURED, CANNED, LEAN ONLY EATEN","Ham, smoked or cured, canned, lean only eaten"
22321110.00,"HAM, SMOKED OR CURED, GROUND PATTY","Ham, smoked or cured, ground patty"
22400100.00,"PORK ROAST, NS AS TO CUT, NS AS TO FAT","Pork roast, NS as to cut, cooked, NS as to fat eaten"
22400110.00,"PORK ROAST, NS AS TO CUT, COOKED, LEAN & FAT","Pork roast, NS as to cut, cooked, lean and fat eaten"
22400120.00,"PORK ROAST, NS AS TO CUT, COOKED, LEAN ONLY","Pork roast, NS as to cut, cooked, lean only eaten"
22401000.00,"PORK ROAST, LOIN, COOKED, NS AS TO FAT","Pork roast, loin, cooked, NS as to fat eaten"
22401010.00,"PORK ROAST, LOIN, COOKED, LEAN & FAT","Pork roast, loin, cooked, lean and fat eaten"
22401020.00,"PORK ROAST, LOIN, COOKED, LEAN ONLY","Pork roast, loin, cooked, lean only eaten"
22411000.00,"PORK ROAST, SHOULDER, COOKED, NS AS TO FAT","Pork roast, shoulder, cooked, NS as to fat eaten"
22411020.00,"PORK ROAST, SHOULDER, COOKED, LEAN ONLY","Pork roast, shoulder, cooked, lean only eaten"
22421000.00,"PORK ROAST, SMOKED OR CURED, COOKED, NS AS TO FAT","Pork roast, smoked or cured, cooked, NS as to fat eaten"
22421010.00,"PORK ROAST, SMOKED OR CURED, COOKED, LEAN & FAT","Pork roast, smoked or cured, cooked, lean and fat eaten"
22421020.00,"PORK ROAST, SMOKED OR CURED, COOKED, LEAN ONLY","Pork roast, smoked or cured, cooked, lean only eaten"
22431000.00,"PORK ROLL, CURED, FRIED","Pork roll, cured, fried"
22501010.00,"BACON, CANADIAN, COOKED","Canadian bacon, cooked"
22600100.00,"BACON, NS AS TO TYPE OF MEAT, COOKED","Bacon, NS as to type of meat, cooked"
22600200.00,"PORK BACON, NS AS TO FRESH/SMOKED/CURED, COOKED","Pork bacon, NS as to fresh, smoked or cured, cooked"
22601000.00,"PORK BACON, SMOKED OR CURED, COOKED","Pork bacon, smoked or cured, cooked"
22601020.00,"PORK BACON, SMOKED OR CURED, COOKED, LEAN ONLY","Pork bacon, smoked or cured, cooked, lean only eaten"
22601040.00,"BACON OR SIDE PORK, FRESH, COOKED","Bacon or side pork, fresh, cooked"
22602010.00,"PORK BACON, SMOKED OR CURED, LOWER SODIUM","Pork bacon, smoked or cured, lower sodium"
22605010.00,"BACON, FORMED, LEAN MEAT ADDED, COOKED","Pork bacon, formed, lean meat added, cooked"
22621000.00,"SALT PORK, COOKED","Salt pork, cooked"
22621100.00,"FAT BACK, COOKED (INCLUDE HOG JOWL)","Fat back, cooked"
22701000.00,"PORK, SPARERIBS, COOKED, NS AS TO FAT EATEN","Pork, spareribs, cooked, NS as to fat eaten"
22701010.00,"PORK, SPARERIBS, COOKED, LEAN & FAT","Pork, spareribs, cooked, lean and fat eaten"
22701020.00,"PORK, SPARERIBS, COOKED, LEAN ONLY","Pork, spareribs, cooked, lean only eaten"
22701030.00,"PORK, SPARERIBS, BBQ, W/ SAUCE, NS FAT EATEN","Pork, spareribs, barbecued, with sauce, NS as to fat eaten"
22701040.00,"PORK, SPARERIBS, BBQ, W/ SAUCE, LEAN & FAT EATEN","Pork, spareribs, barbecued, with sauce, lean and fat eaten"
22701050.00,"PORK, SPARERIBS, BBQ, W/ SAUCE, LEAN ONLY EATEN","Pork, spareribs, barbecued, with sauce, lean only eaten"
22704010.00,"PORK, CRACKLINGS, COOKED","Pork, cracklings, cooked"
22705010.00,"PORK, EARS, TAIL, HEAD, SNOUT, MISC PARTS, COOKED","Pork ears, tail, head, snout, miscellaneous parts, cooked"
22706010.00,"PORK, NECK BONES, COOKED","Pork, neck bones, cooked"
22707010.00,"PORK, PIG'S FEET, COOKED","Pork, pig's feet, cooked"
22707020.00,"PORK, PIG'S FEET, PICKLED","Pork, pig's feet, pickled"
22708010.00,"PORK, PIG'S HOCKS, COOKED","Pork, pig's hocks, cooked"
22709010.00,"PORK SKIN, RINDS, DEEP-FRIED","Pork skin, rinds, deep-fried"
22709110.00,"PORK SKIN, BOILED","Pork skin, boiled"
22810010.00,"HAM, BABY, STRAINED","Ham, baby food, strained"
22820000.00,"MEAT STICK, BABY FOOD","Meat stick, baby food"
23000100.00,"LAMB, NS AS TO CUT, COOKED","Lamb, NS as to cut, cooked"
23101000.00,"LAMB CHOP, COOKED, NS AS TO CUT & FAT","Lamb chop, NS as to cut, cooked, NS as to fat eaten"
23101010.00,"LAMB CHOP, NS AS TO CUT, COOKED, LEAN & FAT","Lamb chop, NS as to cut, cooked, lean and fat eaten"
23101020.00,"LAMB CHOP, NS AS TO CUT, COOKED, LEAN ONLY","Lamb chop, NS as to cut, cooked, lean only eaten"
23104000.00,"LAMB, LOIN CHOP, COOKED, NS AS TO FAT","Lamb, loin chop, cooked, NS as to fat eaten"
23104010.00,"LAMB, LOIN CHOP, COOKED, LEAN & FAT","Lamb, loin chop, cooked, lean and fat eaten"
23104020.00,"LAMB, LOIN CHOP, COOKED, LEAN ONLY","Lamb, loin chop, cooked, lean only eaten"
23107020.00,"LAMB, SHOULDER CHOP, COOKED, LEAN ONLY","Lamb, shoulder chop, cooked, lean only eaten"
23110000.00,"LAMB, RIBS, COOKED, LEAN ONLY","Lamb, ribs, cooked, lean only eaten"
23110010.00,"LAMB, RIBS, COOKED, NS AS TO FAT","Lamb, ribs, cooked, NS as to fat eaten"
23110050.00,"LAMB, RIBS, COOKED, LEAN & FAT","Lamb, ribs, cooked, lean and fat eaten"
23111010.00,"LAMB HOCKS, COOKED","Lamb hocks, cooked"
23120100.00,"LAMB, ROAST, COOKED, NS AS TO FAT EATEN","Lamb, roast, cooked, NS as to fat eaten"
23120110.00,"LAMB, ROAST, COOKED, LEAN & FAT EATEN","Lamb, roast, cooked, lean and fat eaten"
23120120.00,"LAMB, ROAST, COOKED, LEAN ONLY EATEN","Lamb, roast, cooked, lean only eaten"
23132000.00,"LAMB, GROUND OR PATTY, COOKED","Lamb, ground or patty, cooked"
23150100.00,"GOAT, BOILED","Goat, boiled"
23150200.00,"GOAT, FRIED","Goat, fried"
23150250.00,"GOAT, BAKED","Goat, baked"
23150270.00,"GOAT HEAD, COOKED","Goat head, cooked"
23150300.00,"GOAT RIBS, COOKED","Goat ribs, cooked"
23200100.00,"VEAL, COOKED, NS AS TO CUT & FAT","Veal, NS as to cut, cooked, NS as to fat eaten"
23200110.00,"VEAL, NS AS TO CUT, COOKED, LEAN & FAT","Veal, NS as to cut, cooked, lean and fat eaten"
23200120.00,"VEAL, NS AS TO CUT, COOKED, LEAN ONLY","Veal, NS as to cut, cooked, lean only eaten"
23201030.00,"VEAL CHOP, NS AS TO COOKING METHOD, LEAN ONLY","Veal chop, NS as to cooking method, lean only eaten"
23203020.00,"VEAL CHOP, FRIED, LEAN & FAT","Veal chop, fried, lean and fat eaten"
23203030.00,"VEAL CHOP, FRIED, LEAN ONLY","Veal chop, fried, lean only eaten"
23203100.00,"VEAL CHOP, BROILED, NS AS TO FAT","Veal chop, broiled, NS as to fat eaten"
23203120.00,"VEAL CHOP, BROILED, LEAN ONLY","Veal chop, broiled, lean only eaten"
23204010.00,"VEAL CUTLET, NS AS TO COOKING METHOD, NS AS TO FAT","Veal cutlet or steak, NS as to cooking method, NS as to fat eaten"
23204030.00,"VEAL CUTLET, NS AS TO COOKING METHOD, LEAN ONLY","Veal cutlet or steak, NS as to cooking method, lean only eaten"
23204200.00,"VEAL CUTLET OR STEAK, BROILED, NS AS TO FAT","Veal cutlet or steak, broiled, NS as to fat eaten"
23204210.00,"VEAL CUTLET OR STEAK, BROILED, LEAN & FAT","Veal cutlet or steak, broiled, lean and fat eaten"
23204220.00,"VEAL CUTLET OR STEAK, BROILED, LEAN ONLY","Veal cutlet or steak, broiled, lean only eaten"
23205010.00,"VEAL CUTLET OR STEAK, FRIED, NS AS TO FAT","Veal cutlet or steak, fried, NS as to fat eaten"
23205020.00,"VEAL CUTLET OR STEAK, FRIED, LEAN & FAT","Veal cutlet or steak, fried, lean and fat eaten"
23205030.00,"VEAL CUTLET OR STEAK, FRIED, LEAN ONLY","Veal cutlet or steak, fried, lean only eaten"
23210010.00,"VEAL, ROASTED, NS AS TO FAT","Veal, roasted, NS as to fat eaten"
23210020.00,"VEAL, ROASTED, LEAN & FAT","Veal, roasted, lean and fat eaten"
23210030.00,"VEAL, ROASTED, LEAN ONLY","Veal, roasted, lean only eaten"
23220010.00,"VEAL, GROUND OR PATTY, COOKED","Veal, ground or patty, cooked"
23220020.00,"MOCK CHICKEN LEGS, COOKED","Mock chicken legs, cooked"
23220030.00,"VEAL PATTY, BREADED, COOKED","Veal patty, breaded, cooked"
23310000.00,"RABBIT, NS AS TO DOMESTIC OR WILD, COOKED","Rabbit, NS as to domestic or wild, cooked"
23311120.00,"RABBIT, NS AS TO DOMESTIC OR WILD, BREADED, FRIED","Rabbit, NS as to domestic or wild, breaded, fried"
23311200.00,"RABBIT, WILD, COOKED","Rabbit, wild, cooked"
23321000.00,"VENISON/DEER, NFS","Venison/deer, NFS"
23321100.00,"VENISON/DEER, ROASTED (INCLUDE ROAST ANTELOPE)","Venison/deer, roasted"
23321200.00,"VENISON/DEER STEAK, COOKED, NS AS TO METHOD","Venison/deer steak, cooked, NS as to cooking method"
23321250.00,"VENISON/DEER STEAK, BREADED OR FLOURED, COOKED","Venison/deer steak, breaded or floured, cooked, NS as to cooking method"
23321900.00,"VENISON/DEER JERKY","Venison/deer jerky"
23322100.00,"DEER BOLOGNA","Deer bologna"
23322350.00,"VENISON/DEER RIBS, COOKED","Venison/deer ribs, cooked"
23322400.00,"VENISON/DEER, STEWED","Venison/deer, stewed"
23323100.00,"MOOSE, COOKED","Moose, cooked"
23323500.00,"BEAR, COOKED","Bear, cooked"
23324100.00,"CARIBOU, COOKED","Caribou, cooked"
23326100.00,"BISON, COOKED","Bison, cooked"
23333100.00,"SQUIRREL, COOKED","Squirrel, cooked"
23335100.00,"RACCOON, COOKED","Raccoon, cooked"
23345100.00,"WILD PIG, SMOKED","Wild pig, smoked"
23410010.00,"LAMB, BABY, STRAINED","Lamb, baby food, strained"
23420010.00,"VEAL, BABY, STRAINED","Veal, baby food, strained"
24100000.00,"CHICKEN, NS AS TO PART, NS METHOD, SKIN","Chicken, NS as to part and cooking method, NS as to skin eaten"
24100010.00,"CHICKEN, NS AS TO PART, NS METHOD, W/ SKIN","Chicken, NS as to part and cooking method, skin eaten"
24100020.00,"CHICKEN, NS AS TO PART, NS METHOD, W/O SKIN","Chicken, NS as to part and cooking method, skin not eaten"
24101000.00,"CHICKEN, BONELESS, BROILED, NS PART, NS SKIN","Chicken, boneless, NS as to part, broiled, light or dark meat, NS as to skin eaten"
24101010.00,"CHICKEN, BONELESS, BROILED, NS PART, W/ SKIN","Chicken, boneless, NS as to part, broiled, light or dark meat, skin eaten"
24101020.00,"CHICKEN, BONELESS, BROILED, NS PART, W/O SKIN","Chicken, boneless, NS as to part, broiled, light or dark meat, skin not eaten"
24102000.00,"CHICKEN, NS PART, ROASTED/BROILED/BAKED, NS SKIN","Chicken, NS as to part, roasted, broiled, or baked, NS as to skin eaten"
24102010.00,"CHICKEN, NS PART, ROASTED/BROILED/BAKED, W/ SKIN","Chicken, NS as to part, roasted, broiled, or baked, skin eaten"
